"","Year","N","mid","Species"
"312","1974",0,126.5,"Sprattus sprattus"
"313","1974",0,130.5,"Sprattus sprattus"
"314","1974",0,134.5,"Sprattus sprattus"
"315","1974",0,138.5,"Sprattus sprattus"
"316","1975",0.245125348189415,2.5,"Sprattus sprattus"
"317","1975",266.139275766017,6.5,"Sprattus sprattus"
"318","1975",3528.56545961003,10.5,"Sprattus sprattus"
"319","1975",479.690807799443,14.5,"Sprattus sprattus"
"320","1975",1.6908077994429,18.5,"Sprattus sprattus"
"321","1975",0,22.5,"Sprattus sprattus"
"322","1975",0,26.5,"Sprattus sprattus"
"323","1975",0,30.5,"Sprattus sprattus"
"324","1975",0,34.5,"Sprattus sprattus"
"325","1975",0,38.5,"Sprattus sprattus"
"326","1975",0,42.5,"Sprattus sprattus"
"327","1975",0,46.5,"Sprattus sprattus"
"328","1975",0,50.5,"Sprattus sprattus"
"329","1975",0,54.5,"Sprattus sprattus"
"330","1975",0,58.5,"Sprattus sprattus"
"331","1975",0,62.5,"Sprattus sprattus"
"332","1975",0,66.5,"Sprattus sprattus"
"333","1975",0,70.5,"Sprattus sprattus"
"334","1975",0,74.5,"Sprattus sprattus"
"335","1975",0,78.5,"Sprattus sprattus"
"336","1975",0,82.5,"Sprattus sprattus"
"337","1975",0,86.5,"Sprattus sprattus"
"338","1975",0,90.5,"Sprattus sprattus"
"339","1975",0,94.5,"Sprattus sprattus"
"340","1975",0,98.5,"Sprattus sprattus"
"341","1975",0,102.5,"Sprattus sprattus"
"342","1975",0,106.5,"Sprattus sprattus"
"343","1975",0,110.5,"Sprattus sprattus"
"344","1975",0,114.5,"Sprattus sprattus"
"345","1975",0,118.5,"Sprattus sprattus"
"346","1975",0,122.5,"Sprattus sprattus"
"347","1975",0,126.5,"Sprattus sprattus"
"348","1975",0,130.5,"Sprattus sprattus"
"349","1975",0,134.5,"Sprattus sprattus"
"350","1975",0,138.5,"Sprattus sprattus"
"351","1976",22.2774725274725,2.5,"Sprattus sprattus"
"352","1976",162.425824175824,6.5,"Sprattus sprattus"
"353","1976",731.659340659341,10.5,"Sprattus sprattus"
"354","1976",401.282967032967,14.5,"Sprattus sprattus"
"355","1976",11.8159340659341,18.5,"Sprattus sprattus"
"356","1976",0,22.5,"Sprattus sprattus"
"357","1976",0,26.5,"Sprattus sprattus"
"358","1976",0,30.5,"Sprattus sprattus"
"359","1976",0,34.5,"Sprattus sprattus"
"360","1976",0,38.5,"Sprattus sprattus"
"361","1976",0,42.5,"Sprattus sprattus"
"362","1976",0,46.5,"Sprattus sprattus"
"363","1976",0,50.5,"Sprattus sprattus"
"364","1976",0,54.5,"Sprattus sprattus"
"365","1976",0,58.5,"Sprattus sprattus"
"366","1976",0,62.5,"Sprattus sprattus"
"367","1976",0,66.5,"Sprattus sprattus"
"368","1976",0,70.5,"Sprattus sprattus"
"369","1976",0,74.5,"Sprattus sprattus"
"370","1976",0,78.5,"Sprattus sprattus"
"371","1976",0,82.5,"Sprattus sprattus"
"372","1976",0,86.5,"Sprattus sprattus"
"373","1976",0,90.5,"Sprattus sprattus"
"374","1976",0,94.5,"Sprattus sprattus"
"375","1976",0,98.5,"Sprattus sprattus"
"376","1976",0,102.5,"Sprattus sprattus"
"377","1976",0,106.5,"Sprattus sprattus"
"378","1976",0,110.5,"Sprattus sprattus"
"379","1976",0,114.5,"Sprattus sprattus"
"380","1976",0,118.5,"Sprattus sprattus"
"381","1976",0,122.5,"Sprattus sprattus"
"382","1976",0,126.5,"Sprattus sprattus"
"383","1976",0,130.5,"Sprattus sprattus"
"384","1976",0,134.5,"Sprattus sprattus"
"385","1976",0,138.5,"Sprattus sprattus"
"386","1977",8.90140845070423,2.5,"Sprattus sprattus"
"387","1977",556.387323943662,6.5,"Sprattus sprattus"
"388","1977",1783.76056338028,10.5,"Sprattus sprattus"
